id;affiliated_type;seq;name;address;tel_no;homepage_url
0f184eb5-3a40-4b;SHOP;경험한;저명한;공기 zowie;taunt 승인;다소 ebb turn
8dee0e22-2a70-43;CLUB;놀람 cage;hmph;aha wherever;cite 고대의;gadzooks 행복하게 yum
b0635a7b-8935-4b;SHOP;but;천하게 rouse;구실;hence 사랑스러운;anti broadcast
579ee9c0-0658-4e;SHOP;극진히 고도;적응;아몬드 anti;달력;phew collar court
35ee0751-5ab5-4c;SHOP;beguile;소름 끼치는;더러운 oof which;어색하게 화난;아몬드
6c5e8ab6-e0b2-4e;SHOP;놀람 pasture ick;considering;manage;몹시 다채롭게;이타적인 lest quote
564129f0-fd42-4f;CLUB;분명히 잔인하게 gee;edge hm;litigate;용감하게;에일
91dd1bfa-9e7f-45;SHOP;친숙한 instead;이타적인 rearm after;알고 있는;because yap;throughout if 내세
5773b5cc-2b94-4b;CLUB;before whenever;고뇌 whenever;분명히 심하게;per into;spike before 맹목적으로
1bafdb01-f7e7-44;CLUB;yahoo 고의로 till;yahoo shore;so;who 전진;that 적응 여배우
