id;name;start_date_time;end_date_time;entry_start_date_time;entry_end_date_time;status;approval;entry_apply_type;entry_rating_type
5edbbfbf-c342-4a;consequently 희미하게 alongside;2024-04-21T09:24:50;2024-04-21T23:11:44;2024-04-21T19:56:51;2024-04-21T18:01:18;CLOSE;true;APP;AUTO
8d30237b-0d5d-4e;boo retell;2024-04-21T13:22:30;2024-04-21T09:27:30;2024-04-21T20:35:36;2024-04-21T12:29:58;OPENING;false;DIRECT;AUTO
18378a7b-22d5-4e;ugh 관리자;2024-04-21T17:37:40;2024-04-21T04:47:15;2024-04-21T19:42:35;2024-04-21T13:47:44;CLOSE;true;DIRECT;AUTO
f17c25ab-ec08-4b;사악한;2024-04-21T16:59:21;2024-04-21T06:36:56;2024-04-21T07:35:35;2024-04-21T21:03:03;OPENING;true;DIRECT;AUTO
97bd6532-6e63-44;유명한 유추;2024-04-21T22:15:49;2024-04-21T15:41:22;2024-04-21T03:09:42;2024-04-21T18:47:56;CLOSE;false;APP;AUTO
01cc65b9-519b-4a;공정한 default;2024-04-21T21:01:05;2024-04-21T14:17:24;2024-04-22T00:40:36;2024-04-22T00:49:25;CLOSE;true;APP;DIRECT
479a7d45-63ce-46;yuck aha aboard;2024-04-21T13:18:17;2024-04-21T08:28:30;2024-04-21T21:32:49;2024-04-21T11:46:13;OPENING;false;DIRECT;DIRECT
e5ff84b0-ce07-40;공기 regarding;2024-04-21T12:01:00;2024-04-21T21:11:09;2024-04-21T20:52:45;2024-04-21T13:02:30;OPENING;true;APP;AUTO
dc3dc347-30f6-41;추운 정통한;2024-04-21T22:26:27;2024-04-21T12:39:53;2024-04-21T22:48:28;2024-04-21T13:16:17;PREPARE;true;DIRECT;DIRECT
edb202c1-972c-4d;although;2024-04-21T22:20:53;2024-04-21T09:26:49;2024-04-21T04:50:18;2024-04-21T23:33:45;OPENING;true;DIRECT;DIRECT
