id;game_category_type;name;description;round_num_default;round_num_min;round_num_max;round_num_unlimit
7cddcfd2-501d-49;CRICKET;형용사;aw;9292;21573;22528;30758
7862a130-7cb7-4f;GAME_01;쾌활한 except uh-huh;boohoo;31378;3981;24204;20624
a5096f86-faf1-45;GAME_01;athwart 특사;일;1130;31137;13270;16767
fbb86cba-906a-48;CRICKET;지속적으로 행복하게;what inasmuch;16436;18961;20244;27269
4329759e-325e-4f;CRICKET;along 탄약 meh;for goof;25377;32584;15438;21746
5e0bbceb-0b5c-4f;PRACTICE;likewise woot;till;24017;22106;9504;17058
a3dbcfd4-faf8-42;CRICKET;밀집한 mismatch opposite;supposing within 보적;18654;11170;11547;93
58e556d6-bfb4-42;PRACTICE;name and peddle;gah 보좌관 ack;937;27129;22154;18943
067c48ba-8484-47;GAME_01;by because;행동;8380;13612;3234;15466
54620a57-636a-46;PRACTICE;pertain;wherever 면밀히 ready;11571;150;20024;8057
