id;attendance_status_type;attendance_date_time
92a2f713-f9a2-49;ATTENDANCE;2024-04-21T22:23:09
b3a16ef9-99cc-49;ATTENDANCE;2024-04-21T05:04:07
db5c9cb3-be30-43;NON_ATTENDANCE;2024-04-22T01:10:18
84587b91-c09c-43;NON_ATTENDANCE;2024-04-21T21:42:09
33997ed3-875f-4d;GIVE_UP;2024-04-21T20:51:15
f11cc946-7c4d-40;NON_ATTENDANCE;2024-04-21T03:09:37
bbdb9aa6-9e00-48;GIVE_UP;2024-04-21T03:58:18
501bafe5-3ea3-41;NON_ATTENDANCE;2024-04-21T17:23:30
593c7baa-fe62-45;GIVE_UP;2024-04-21T20:00:16
77ef5f58-1a8a-4a;GIVE_UP;2024-04-21T02:28:24
