id;call_date_time;call_message
3e628bd0-2efe-43;2024-04-21T16:52:26;부러워하는
1743eac6-77de-4d;2024-04-21T09:42:13;now
9dd01b15-3421-42;2024-04-21T21:37:48;기쁜 대수학 towards
76cee855-72cc-40;2024-04-21T06:10:21;that supposing
c88aa202-bd4d-45;2024-04-21T07:14:45;whoever 기쁜 당황스러운
0486c02a-d5fa-46;2024-04-21T10:05:34;분석자 이국적인
6de9a92a-28b1-40;2024-04-21T21:50:34;gee
9dc47999-2ffe-45;2024-04-21T18:24:01;yowza
13d74c8e-4b14-40;2024-04-21T12:07:00;어리석은 용감하게 rename
fdba63aa-952a-42;2024-04-21T20:27:44;overstay
