id;is_winner;avg_ppd;avg_mpr;win_set;win_leg;player_call_mode_type
88d3df56-989c-4f;true;26711.45;22287.46;27671;12818;AUTO_PROGRESS
bb863f54-23b0-47;true;5824.75;22684.61;7806;14170;AUTO_PROGRESS
59fe3ebb-c3c3-4f;true;2760.23;10826.36;9111;4904;MANUAL_PROGRESS
97f54c37-367b-48;false;25063.47;9861.37;21011;6931;MANUAL_PROGRESS
dea123de-4a90-43;false;26793.24;8470.32;16521;11662;MANUAL_PROGRESS
72a0a45d-aab2-46;true;17478.04;6897.42;2781;30329;MANUAL_PROGRESS
ddb1d404-0a21-42;true;6675.34;28232.08;28775;17115;AUTO_PROGRESS
97bb5ccb-b418-4b;true;32738.13;11426.29;1438;9116;MANUAL_PROGRESS
eebb2a64-dec8-4f;false;21166.85;25873.33;30011;7204;AUTO_PROGRESS
0c6f853a-1bf0-4a;true;15891.1;29217.25;6356;5089;AUTO_PROGRESS
