id;set_no;lge_no;leg_game_name;home_leg_score;away_leg_score
d7959b1c-93c1-47;31838;27828;쿨하게;18673.87;7450.41
73955914-6774-48;30596;1922;electrify finally;15985.89;18228.63
dfa450a5-223b-46;6172;27580;legitimize alongside;16164.15;4175.1
f2548928-f453-4d;8435;27800;yum;350.54;26528.35
c474d36f-66cc-40;21759;13498;희미한 경솔한;6015.45;627
42fba537-6278-41;4475;31995;efface including oof;7875.96;23459.68
08063f5b-3d19-49;27130;25352;at so hmph;5591.44;4498.18
6f9279f6-886b-4c;15259;7183;나이 anti 솔직한;22014.36;17556.1
806c97d1-90c6-4c;17724;6394;along;13360.15;16503.99
1d954227-7236-40;30644;31946;성실한;20078.8;24623.6
