id;name;description;match_format_type;first_set;middle_set;last_set
335c7081-62cc-4c;보적;즐겁게;TEMPLATE;CENTER_CORK;CENTER_CORK;COIN_TOSS
76b7885f-4141-42;unto 앨범 대사;아름답게 once;TEMPLATE;PREV_LOSER_FIRST;RESERVE;COIN_TOSS
b870d32a-fc4f-4f;toward 품위 있는 circle;chortle and 공적;GENERAL;RESERVE;COIN_TOSS;COIN_TOSS
5ac8795a-e15b-41;빠르게 yuck 관리자;whenever yuck;GENERAL;COIN_TOSS;CENTER_CORK;RESERVE
8303e785-a816-43;농업 ouch but;lest gosh;TEMPLATE;PREV_LOSER_FIRST;PREV_LOSER_FIRST;COIN_TOSS
ccf1cbbd-8cca-4b;구실 oh into;달력 대량;GENERAL;RESERVE;RESERVE;RESERVE
424104d4-47e3-40;닫힌 차가운 탐닉;plus geez;GENERAL;RESERVE;CENTER_CORK;COIN_TOSS
44b1ae8e-08c1-4a;mid inside;yell 마구;TEMPLATE;CENTER_CORK;RESERVE;CENTER_CORK
2d2b0ef2-b78a-4d;조잡한 amid 잔인하게;잔인하게;TEMPLATE;PREV_LOSER_FIRST;COIN_TOSS;PREV_LOSER_FIRST
0d0322a2-7006-47;경보 별명;활동;GENERAL;PREV_LOSER_FIRST;COIN_TOSS;RESERVE
