id;game_category_type;game_type;round_num;machine_credit_type;including_choice_game
b3da251a-a805-4d;GAME_01;CRICKET_STANDARD;5641;NUM_14;false
9cdc5366-f551-47;CRICKET;GAME_901;30865;MACHINE_DEFAULT;true
dec3bb8c-bdc7-42;CRICKET;CRICKET_CUT_THROAT;12266;NUM_1;false
6052319e-c86a-42;PRACTICE;BULL_SHOT;26360;NUM_5;false
6bcc44d6-0811-4d;GAME_01;BULL_SHOT;23519;NUM_13;true
5f0c14fa-5e92-4d;CRICKET;CRICKET_STANDARD;21158;NUM_5;false
58616a84-c839-49;GAME_01;BULL_SHOT;22214;NUM_3;true
dfb83428-8ff5-47;PRACTICE;HALF_IT;32256;NUM_4;true
1d01ade7-1220-48;PRACTICE;COUNT_UP;16412;NUM_6;false
b5438316-994f-43;PRACTICE;GAME_1101;12901;MACHINE_DEFAULT;true
