id;reward_method_type;reward_method_sub_type;reward_category_num;machine_kind_type
f558c30e-428e-42;TOURNAMENT;DIVISION;32512;VSX_MAX
d6edb469-2f25-47;TOURNAMENT;ALL;11282;VSS_S4
9f8f5fdd-7c88-40;DAY;ALL;13066;VSS_S4
92f58a04-6693-48;TOURNAMENT;ALL;18658;VSX
72cc7322-9fa0-40;TOURNAMENT;DIVISION;1389;VSX
02f03ece-e519-45;TOURNAMENT;DIVISION;21954;VSS_S4
4578985d-85f5-48;TOURNAMENT;DIVISION;7497;VSS_S4
87bcc729-18af-43;TOURNAMENT;ALL;24616;VSX_MAX
87281696-9305-4c;TOURNAMENT;ALL;8257;VSX
5e6ff405-e8fc-4b;TOURNAMENT;DIVISION;7561;VSS_S4
