id;name;tournament_id;division_id
9b5b0aff-bd1c-43;철저한 flub unlike;down 거꾸로 hmph;provided 몹시 살아 있는
5accf386-a114-4d;toe times;분명히;눈부신 깨진
d94d3508-0a23-48;across bend;거의;침략 약간의
6908b57b-37e4-41;uh-huh;분주한 pfft ick;till manhandle
b01e9308-c20f-4d;mmm afore 원통형;qua meh;scrape
40eb894c-d698-4a;특사 drat;옹호 a than;고문 품위 있는
54974d93-340b-44;가입 용감하게 cop;meh 조언 gee;wrest 일
5ca9b946-593e-49;before 성인;똑똑하게 승인;알파벳
78b73306-e082-4f;since behind 주소;singe into 신나는;unlike psst
ea7dc3fe-fda9-40;앨범 비참한 oof;오후;what except
