id;team_no;approval_status;entry_date;memo;group_no;group_seq;seed_no
17980845-0fa2-43;의식하는 도토리;WAITING_ENTRY_CANCELLATION;2024-04-21T14:30:20;유연 바쁘게;389;7;533
4c34cb97-e35e-4e;사려 깊은 pf;WAITING_ENTRY_CANCELLATION;2024-04-21T09:56:15;관리 aw;534;9;802
c824e14b-3942-45;aboard a;ENTRY_CANCELLATION_COMPLETED;2024-04-21T09:19:13;uh-huh huzzah 다소;749;2;31
f8cd0549-04ac-49;음침한;COMPLETE_ENTRY;2024-04-21T03:21:44;거대한;642;7;725
6a4abf60-6a4a-45;외계인 oppo;ENTRY_CANCELLATION_COMPLETED;2024-04-21T05:28:40;and circa;351;7;390
89bab132-a848-4a;진보 coexi;WAITING_ENTRY_CANCELLATION;2024-04-21T19:23:39;finance though;58;3;772
e94ba576-5a4f-46;tonify 깊;WAITING_ENTRY;2024-04-21T03:55:02;외향적인;170;3;3
658f85a1-2346-4d;er regar;ENTRY_CANCELLATION_COMPLETED;2024-04-21T16:17:25;absorb;969;8;188
dedfb6a0-190f-43;활동 geez ;COMPLETE_ENTRY;2024-04-21T13:39:05;양자 at for;430;9;94
04b35a5d-c803-46;눈부신 befo;WAITING_ENTRY;2024-04-21T04:54:48;분석자 주소;491;7;406
