id;seq;name;day;event_tournament;entry_close;entry_approval_type;tournament_type;seeding_rule;tournament_play_mode;third_place_decision;division_rule;entry_limit;num_of_entry;division_assign_method;entry_gender_type;handicap
e94d0442-6003-4d;72;postmark how;7580;true;true;MANUAL;ROUNDROBIN;RATING;TRIO;true;COMPETITION_RATING;true;5277;AUTO;MALE;NO
3fe06fc8-8e9c-40;56;골목 below thump;4275;false;false;MANUAL;ROUNDROBIN;CSV_SEED_LOADING;TRIO;false;GENERAL_RATING;true;18990;AUTO;FEMALE;OFFICIAL
fc51c84d-1113-41;95;노하여 gash;19763;false;true;MANUAL;SINGLE_ELIMINATION;CSV_SEED_LOADING;DOUBLE;true;NO_CLASSIFICATION;true;25993;AUTO;ALL;OFFICIAL
96b3bf8a-30ec-47;38;유감스럽게 활동 이점;22327;true;false;AUTO;ROUNDROBIN;CSV_SEED_LOADING;TRIO;false;NO_CLASSIFICATION;true;22406;AUTO;FEMALE;OFFICIAL
92894523-c8ae-4a;64;잔인하게;28027;false;false;AUTO;ROUNDROBIN_DOUBLE_ELIMINATION;MPR;GALLON;false;COMPETITION_RATING;true;22096;PLAYER;FEMALE;NO
ce2b2d0a-8935-40;95;구급차 교활한;29611;false;false;MANUAL;ROUNDROBIN;RANDOM;DOUBLE;true;HIGHER_RATING;true;2978;PLAYER;CONCOCTION;NO
c73b549d-204e-40;49;마구 baa;27005;true;true;MANUAL;SINGLE_ELIMINATION;ROUND_ROBIN;GALLON;true;INPUT_RATING;true;26028;PLAYER;FEMALE;NO
b7c7048e-e7ba-4d;80;summarise;3175;false;true;MANUAL;SINGLE_ELIMINATION;MPR;GALLON;true;GENERAL_RATING;true;1690;AUTO;CONCOCTION;BIGINNER
b82881b8-7d79-49;97;phooey how;31018;false;false;MANUAL;ROUNDROBIN_DOUBLE_ELIMINATION;RANDOM;DOUBLE;false;CARD_RATING;false;9219;PLAYER;ALL;BIGINNER
486fb496-9799-48;77;finally 활동가;27771;false;false;MANUAL;DOUBLE_ELIMINATION;CSV_SEED_LOADING;TRIO;true;NO_CLASSIFICATION;false;30015;PLAYER;FEMALE;OFFICIAL
